,Date/Time of Last Sync,Facility Id,Number of content sessions,Time spent on content (seconds)
0, 31-Aug-2017 20:08,01unete2017,0,
1, 01-Feb-2018 15:00,ISIDRO CASTILLO,19,4117.132
2, 01-Feb-2018 15:00,Raul Madero Gonzalez,92,17711.665000000008
3," 01-Feb-2018 15:00             2729984
",14EPR1121R,57,11896.387
4, 01-Jan-2018 15:00,15DPR2282K,18,1626.917
5, 01-Feb-2018 15:00,02EPR0265B,15,1113.73
6, 24-Aug-2017 19:29,pass,0,
7," 01-Feb-2018 15:00             1307648
",Valentin Canalizo,136,41636.128
8," 01-Feb-2018 15:00             2336768
",Escuela Primaria Cristobal Colón Club de Leones 7,233,60023.320999999996
9, 31-Jan-2018 18:00,Maxixcatzin,90,13999.827000000001
10, 30-Aug-2017 00:07,pass,5,2570.237000000003
11," 30-Jan-2018 17:46             1541120
",Miguel Hidalgo y Costilla,426,80604.2
12," 01-Feb-2018 15:00             2823168
",Glafira Chavez Fernandez,217,46662.289000000004
13, 01-Jan-2018 15:00,LPN19DPR1618V,80,97267.59800000001
14, 01-Jan-2018 09:04,Educación y Patria,10,715.772
15, 01-Feb-2018 16:33,Saturnino Herran,48,13186.482
16, 01-Feb-2018 15:00,15DPR2375Z,20,3156.502
17," 29-Jan-2018 17:00             2705408
",14EPR1207X,14,3253.3320000000003
18, 01-Feb-2018 09:00,Escuela Primaria  Prof. Emilio Rodríguez,1,0.0
19, 10-Aug-2017 16:58,Test,0,
20," 29-Jan-2018 17:56             1193984
",Esc. Martires de la Revolucion,147,19542.497000000003
21," 01-Feb-2018 15:00             1494016
",esc.,8,12409.108
22, 01-Feb-2018 15:00,05DPR0511T,10,1324.8539999999998
23," 01-Feb-2018 15:00             2359296
",ESCUELA PRIMARIA MELCHOR OCAMPO,231,105737.50900000002
24, 09-Jan-2018 18:54,PRIM. FRANCISCO I. MADERO-UNETE,110,80921.41500000001
25, 29-Jan-2018 11:02,manuel j clouthier del rincon,1,127.77500000000002
26," 29-Jan-2018 17:01             1425408
",ESC. PRIM. FRANCISCO I. MADERO,77,83717.425
27, 01-Feb-2018 15:00,juan maria de salvatierra,0,
28, 29-Jan-2018 11:05,Escuela Niños Heroes,0,
29, 10-Aug-2017 18:55,CCTID,0,
30," 01-Feb-2018 15:01            10044416
",Heroinas Mexicanas,1172,708394.1209999999
31, 01-Nov-2017 15:00,Perla aurora treviño tamez,5,413.71599999999995
32, 29-Jan-2018 17:00,GUSTAVO DIAZ ORDAZ,0,
33, 01-Feb-2018 15:00,02DPR0568X,41,23389.797
34, 12-Dec-2017 17:24,02DPR0568X,4,221.409
35, 22-Jan-2018 17:00,Lic. Benito Juarez,3,130.936
36," 01-Feb-2018 15:01             1256448
",05EPR0020E,3,784.093
37, 29-Jan-2018 11:01,08DPR2319Y,0,
38, 01-Feb-2018 15:00,Eulogio Perera Moreno,30,2641.35
39, 01-Jan-2018 15:00,15DPR0740T,22,2024.997
40, 01-Feb-2018 15:00,15DPR2727M,28,4107.059
